corpus	fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	pdf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	originalFormat	transcriber	staff_3_instrument	staff_3_ambitus	volta_mcs	part_name_text	text	lyricist_text	comments	comment	annotated_key	harmony_version	annotators	reviewers	composed_source	imslp	viaf	musicbrainz	wikidata
debussy_childrens_corner	l113-01_childrens_doctor	1: 4/4	1: 0, 33: -2, 37: -4, 45: 0	76	76	304.0	76	76	304.0	707.25	1259	1033	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/doctor-gradus-ad-parnassum		"<font face=""Times New Roman""/>Doctor Gradus ad Parnassum"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-01_childrens_doctor.mscx	0	24-89 (C1-F6)	https://musescore.com/nicolas		Piano	36-89 (C2-F6)	Piano	24-79 (C1-G5)																			
debussy_childrens_corner	l113-02_childrens_jimbos	1: 2/2	1: -2	81	81	324.0	81	81	324.0	1013.0	716	403	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/jimbos-lullaby		"<font face=""Times New Roman""/>Jimbo's Lullaby"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-02_childrens_jimbos.mscx	0	29-83 (F1-B5)	https://musescore.com/nicolas		Piano	41-83 (F2-B5)	Piano	29-61 (F1-Db4)																			
debussy_childrens_corner	l113-03_childrens_serenade	1: 3/4	1: 4	124	124	372.0	124	124	372.0	942.0	1283	580	0	0	0	1908	1908	Claude Debussy	Serenade for the Doll								2019-05-20	3.02	Microsoft Windows	https://musescore.com/user/29737597/scores/5703647		Serenade for the Doll	 (Serenade a la poupee)	Claude Debussy	3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-03_childrens_serenade.mscx	0	40-88 (E2-E6)	https://musescore.com/user/29737597		Piano	55-88 (G3-E6)	Piano	40-80 (E2-G#5)																			
debussy_childrens_corner	l113-04_childrens_snow	1: 4/4, 48: 2/4, 49: 4/4, 52: 2/4, 53: 4/4	1: -1	74	74	292.0	74	74	292.0	676.0	1411	1171	0	0	0	1906	1908										2022-03-09		Microsoft Windows			IV. The Snow is Dancing			3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-04_childrens_snow.mscx	0	36-93 (C2-A6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/82215	Piano	58-93 (Bb3-A6)	Piano	36-86 (C2-D6)																			
debussy_childrens_corner	l113-05_childrens_little	1: 4/4	1: 3	31	31	124.0	31	31	124.0	391.5	336	221	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/the-little-shepherd		"<font face=""Times New Roman""/>The Little Shepherd"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-05_childrens_little.mscx	0	28-88 (E1-E6)	https://musescore.com/nicolas		Piano	56-88 (G#3-E6)	Piano	28-77 (E1-E#5)																			
debussy_childrens_corner	l113-06_childrens_golliwoggs	1: 2/4	1: -3, 47: -6, 90: -3	128	128	256.0	128	128	256.0	806.5	1320	539	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/golliwoggs-cakewalk		"<font face=""Times New Roman""/>Golliwogg's cakewalk"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.9	debussy_childrens_corner/MS3	debussy_childrens_corner/MS3/l113-06_childrens_golliwoggs.mscx	0	22-94 (Bb0-Bb6)	https://musescore.com/nicolas		Piano	41-94 (F2-Bb6)	Piano	22-71 (Bb0-Cb5)																			
debussy_deux_arabesques	l066-01_arabesques_premiere	1: 4/4, 94: 2/4, 95: 4/4	1: 4, 39: 3, 71: 4	107	107	426.0	107	107	426.0	1207.83	1484	1018	0	0	0	1888	1888	Claude Debussy	Premiere Arabesque								2018-04-28		Microsoft Windows	http://musescore.com/user/24069/scores/5077352		Première Arabesque		"Claude Debussy
L. 66, No. 1     "	3.6.2	1.2.9	debussy_deux_arabesques/MS3	debussy_deux_arabesques/MS3/l066-01_arabesques_premiere.mscx	0	28-92 (E1-G#6)	https://musescore.com/hmscomp	https://imslp.org/wiki/Special:ReverseLookup/2821	Piano	50-92 (D3-G#6)	Piano	28-83 (E1-B5)																			
debussy_deux_arabesques	l066-02_arabesques_deuxieme	1: 4/4	1: 1	110	110	440.0	110	110	440.0	1222.0	1810	1048	0	0	0	1891	1891	Claude Debussy									2022-01-31		Microsoft Windows	https://musescore.com/classicman/scores/110108		"<font size=""24""/>Deuxième Arabesque"		"<font size=""12""/>Claude Debussy"	3.6.2	1.2.9	debussy_deux_arabesques/MS3	debussy_deux_arabesques/MS3/l066-02_arabesques_deuxieme.mscx	0	29-93 (F1-A6)	https://musescore.com/classicman	https://imslp.org/wiki/2_Arabesques_(Debussy,_Claude)#IMSLP02821	Piano	41-93 (F2-A6)	Piano	29-81 (F1-A5)	mxl																		
debussy_estampes	l100-01_estampes_pagode	1: 4/4, 92: 2/4, 93: 4/4, 94: 2/4, 95: 4/4	1: 5	98	98	388.0	98	98	388.0	1913.08	2733	1486	0	0	0	1903	1903	Claude Debussy									2020-11-14	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/7325573		"<b><font size=""28""/><font face=""Arial""/>E S T A M P E S</b>"	"<b><font size=""10""/><font face=""Georgia""/>Claude DEBUSSY</b>; <font face=""Georgia""/>I. Pagodes"		3.6.2	1.2.9	debussy_estampes/MS3	debussy_estampes/MS3/l100-01_estampes_pagode.mscx	0	23-99 (B0-D#7)	https://musescore.com/user/2749876		Piano	47-99 (B2-D#7)	Piano	23-80 (B0-G#5)																			
debussy_estampes	l100-02_estampes_soiree	1: 2/4, 109: 3/4, 113: 2/4, 115: 3/4, 119: 2/4	1: 3, 67: 6, 92: 3, 113: 6, 115: 3, 134: 1	136	136	280.0	136	136	280.0	1458.42	2410	835	0	0	0	1903	1903	Claude Debussy	La soirée dans Grenade			L100				Oli 2021	2021-01-06	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6540482		II. La soirée dans Grenade	Estampes 	Debussy, Claude 	3.6.2	1.2.9	debussy_estampes/MS3	debussy_estampes/MS3/l100-02_estampes_soiree.mscx	0	25-97 (C#1-C#7)	https://musescore.com/user/4887176		Piano	37-97 (C#2-C#7)	Piano	25-83 (C#1-B5)			Piano	28-54 (E1-F#3)															
debussy_estampes	l100-03_estampes_jardins	1: 2/2	1: 1, 27: 6, 31: 3, 37: 0, 43: -3, 56: 0, 71: 7, 100: 0, 126: 5	157	157	631.0	157	157	631.0	1680.83	2815	2129	0	0	0	1903	1903	Claude Debussy	Estampes	III	 Jardins sous la pluie					"Creative Commons copyright waiver (CC0 1.0 Universal)
"	2021-10-15		Microsoft Windows	http://musescore.com/user/202809/scores/6875432		III. Jardins sous la pluie	Estampes	Claude debussy  (1862 - 1918)	3.6.2	1.2.9	debussy_estampes/MS3	debussy_estampes/MS3/l100-03_estampes_jardins.mscx	0	28-95 (E1-B6)	https://musescore.com/user/202809		Piano	30-95 (F#1-B6)	Piano	28-88 (E1-E6)		"Vinckeenbosch from IMSLP #256285.
 https://imslp.org/wiki/Estampes_(Debussy%2C_Claude)"																	
