corpus	fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	pdf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	originalFormat	transcriber	staff_3_instrument	staff_3_ambitus	volta_mcs	part_name_text	text	lyricist_text	comments	comment	annotated_key	harmony_version	annotators	reviewers	composed_source	imslp	viaf	musicbrainz	wikidata
debussy_etudes	l136-01_etudes_cinq	1: 4/4, 6: 2/4, 7: 6/16, 11: 4/4, 17: 6/16, 21: 3/8, 27: 12/16, 97: 2/4	1: 0, 48: -7, 56: 0, 75: -4, 90: 0, 111: -5, 113: 0	116	116	317.0	116	116	317.0	682.37	2067	1354	0	0	0	1915	1915	Claude Debussy	Étude no.1: pour les cinq doigts								2021-08-13		Microsoft Windows	http://musescore.com/user/36526887/scores/6959034		Étude no.1: pour les cinq doigts	D'après Monsieur Czerny	C. DEBUSSY	3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-01_etudes_cinq.mscx	0	24-95 (C1-B6)	https://musescore.com/user/36526887	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	31-95 (G1-B6)	Piano	24-84 (C1-C6)																			
debussy_etudes	l136-02_etudes_tierces	1: 4/4	1: -5, 9: 0, 14: -5, 31: 4, 35: -5, 42: 0, 49: -5, 57: 0, 63: -5	80	76	304.0	80	76	304.0	1271.42	3336	1159	0	0	0	1915	1915										2022-02-16		Microsoft Windows			Pour les Tierces			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-02_etudes_tierces.mscx	0	26-94 (D1-Bb6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	45-94 (Bbb2-Bb6)	Piano	26-92 (D1-Ab6)																			
debussy_etudes	l136-03_etudes_quartes	1: 6/8, 7: 3/4, 13: 6/8, 19: 3/8, 20: 6/8, 22: 3/8, 23: 6/8, 25: 3/4	1: -1, 29: -6, 46: 3, 49: 0, 65: -1	85	85	252.0	85	85	252.0	969.83	1586	677	0	0	0	1915	1915										2022-02-28		Microsoft Windows			Pour les Quartes			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-03_etudes_quartes.mscx	0	29-92 (F1-Ab6)			Piano	36-92 (C2-Ab6)	Piano	29-82 (F1-Bb5)																			
debussy_etudes	l136-04_etudes_sixtes	1: 3/4, 18: 4/4, 19: 3/4, 42: 4/4, 43: 3/4, 56: 2/4, 57: 3/4	1: -5, 21: -1, 27: -6, 30: -3, 32: 1, 33: -6, 38: -1, 46: -5	59	59	179.0	59	59	179.0	680.08	1734	614	0	0	0	1915	1915		Pour les Sixtes								2022-03-02		Microsoft Windows			Pour les Sixtes			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-04_etudes_sixtes.mscx	0	25-94 (Db1-Bb6)			Piano	48-94 (C3-Bb6)	Piano	25-77 (Db1-F5)																			
debussy_etudes	l136-05_etudes_octaves	1: 3/8	1: 4, 11: 0, 13: 4, 15: 0, 21: 4, 23: -3, 29: 0, 33: -3, 49: -5, 59: 4, 68: -5, 83: 4, 93: -4, 95: 0, 109: 4, 115: 0, 119: 4	121	121	181.5	121	121	181.5	595.83	2046	831	0	0	0	1915	1915		Pour les Octaves								2022-03-02		Microsoft Windows			Pour les Octaves			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-05_etudes_octaves.mscx	0	24-95 (C1-B6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	29-95 (F1-B6)	Piano	24-79 (C1-G5)																			
debussy_etudes	l136-06_etudes_huit	1: 3/4, 2: 2/4, 4: 3/4, 5: 2/4, 43: 3/4, 44: 2/4, 46: 3/4, 47: 2/4, 55: 3/4, 61: 2/4	1: -6, 13: -3, 29: 0, 33: -6	69	68	146.0	69	68	146.0	175.25	1389	1206	0	0	0	1915	1915										2022-02-16		Microsoft Windows			Pour les huit doigts			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-06_etudes_huit.mscx	0	30-90 (Gb1-Gb6)			Piano	37-90 (Db2-Gb6)	Piano	30-89 (Gb1-F6)																			
debussy_etudes	l136-07_etudes_degres	1: 2/4	1: 0	88	88	176.0	88	88	176.0	567.5	1953	1301	0	0	0	1915	1915										2022-02-18		Microsoft Windows			Pour les degrés chromatiques			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-07_etudes_degres.mscx	0	27-94 (Eb1-Bb6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	46-94 (Bb2-Bb6)	Piano	27-88 (Eb1-E6)																			
debussy_etudes	l136-08_etudes_agrements	1: 6/8, 8: 2/4, 10: 6/8, 28: 3/8, 29: 6/8, 42: 5/8, 44: 6/8, 47: 3/8, 48: 6/8, 56: 2/4, 58: 6/8	1: -1, 10: -6, 12: -1, 13: 0, 20: 3, 27: 0, 32: 3, 35: 0, 40: 5, 43: -4, 46: 4, 49: -1	62	52	151.0	62	54	151.0	496.27	2135	1144	0	0	0	1915	1915		Pour les agréments								2022-03-05		Microsoft Windows			Pour les agréments			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-08_etudes_agrements.mscx	0	28-95 (E1-B6)			Piano	36-95 (C2-B6)	Piano	28-86 (E1-D6)																			
debussy_etudes	l136-09_etudes_notes	1: 4/4	1: 1, 28: 0, 50: 1, 59: 4, 63: 0, 67: 1	85	84	336.0	85	84	336.0	734.62	2026	1262	0	0	0	1915	1915										2022-02-20		Microsoft Windows			Pour les notes répétées			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-09_etudes_notes.mscx	0	27-94 (Eb1-Bb6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	29-94 (F1-Bb6)	Piano	27-86 (Eb1-D6)																			
debussy_etudes	l136-10_etudes_sonorites	1: 9/8, 15: 3/4, 38: 9/8, 59: 3/4	1: 4, 7: 0, 15: 4, 38: 7, 59: 4	75	75	277.5	75	75	277.5	1555.62	1149	440	0	0	0	1915	1915										2022-02-22		Microsoft Windows			Pour les sonorités opposées			3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-10_etudes_sonorites.mscx	0	25-97 (C#1-C#7)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/246285	Piano	44-97 (G#2-C#7)	Piano	25-82 (C#1-A#5)			Piano	29-87 (F1-D#6)															
debussy_etudes	l136-11_etudes_arpeges	1: 3/4	1: -4, 25: 4, 27: -4, 31: 4, 33: -4, 34: 4, 38: -3, 39: 5, 46: -4	67	67	201.0	67	67	201.0	479.4	1973	1338	0	0	0	1915	1915	Claude Debussy	12 Etudes (Livre II)	11	"Pour les arpèges composés
"	 L.136				Oli 2020	2019-09-30	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6368039				"	Debussy, Claude"	3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-11_etudes_arpeges.mscx	0	26-97 (D1-C#7)	https://musescore.com/user/4887176	https://imslp.org/wiki/Special:ReverseLookup/246286	Grand Piano	27-97 (Eb1-C#7)	Grand Piano	26-90 (D1-F#6)						Nr 11, CD 143 ; L.136 ; Nr 11	"12 Etudes (Livre II); A la mémoire de Frédéric Chopin; Pour les arpèges composés
"												
debussy_etudes	l136-12_etudes_accords	1: 3/8, 81: 6/8, 86: 3/8, 87: 6/8, 106: 3/8	1: 0, 81: 6, 95: -3, 96: 6, 106: 0	182	181	308.0	182	181	308.0	1541.5	2865	590	0	0	0	1915	1915										2022-02-14		Microsoft Windows						3.6.2	1.2.9	debussy_etudes/MS3	debussy_etudes/MS3/l136-12_etudes_accords.mscx	0	23-97 (B0-C#7)			Piano	26-97 (D1-C#7)	Piano	23-77 (B0-F5)																			
debussy_images	l087-01_images_lent	1: 3/4, 21: 4/4, 22: 3/4	1: 3, 32: 6	57	57	172.0	57	57	172.0	968.33	1229	354	0	0	0	1894	1894	Claude Debussy	1							Public Domain	2021-02-23		Microsoft Windows	http://musescore.com/user/27291303/scores/6630747		Images oubliées	1	C. Debussy	3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l087-01_images_lent.mscx	0	26-97 (D1-C#7)	https://musescore.com/user/27291303	https://imslp.org/wiki/Special:ReverseLookup/276950	Piano	48-97 (B#2-C#7)	Piano	26-90 (D1-F#6)																			
debussy_images	l087-02_images_souvenir	1: 3/4	1: 4	72	72	216.0	72	72	216.0	1367.0	1659	344	0	0	0	1894	1894	Claude Debussy	Images								2022-02-06		Microsoft Windows			2	"Dans le mouvement d'une ""Sarabande"", c'est-à-dire avec une élégance
grâve et lente, même un peu vieux portrait, souvenir du Louvre, etc."		3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l087-02_images_souvenir.mscx	0	23-88 (B0-E6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/276950	Piano	49-88 (C#3-E6)	Piano	23-76 (B0-E5)																			
debussy_images	l087-03_images_quelques	1: 4/4, 75: 6/4, 90: 3/4, 91: 6/8	1: -1, 64: 5, 91: 2	186	186	677.0	186	186	677.0	2441.25	2846	1511	0	0	0	1894	1894	Claude Debussy	3								2022-02-06		Microsoft Windows			3			3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l087-03_images_quelques.mscx	0	26-94 (D1-A#6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/276950	Piano	37-94 (C#2-A#6)	Piano	26-87 (D1-D#6)																			
debussy_images	l110-01_images_reflets	1: 4/8, 11: 3/8, 12: 4/8	1: -5, 49: 0, 57: -3, 66: 3, 70: -5	95	95	189.5	95	95	189.5	863.5	2060	1291	0	0	0	1904	1904	Claude Debussy	Images I Reflets dans l'eau						www.sheetmusiclibrary.website	www.sheetmusiclibrary.website	2021-03-27			http://musescore.com/user/7854941/scores/6800569		Images I (L. 110)	1. Reflets dans l'eau.	Claude Debussy	3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l110-01_images_reflets.mscx	0	24-96 (C1-C7)	https://musescore.com/sheetmusiclibrary		Piano	49-96 (Db3-C7)	Piano	24-93 (C1-A6)								www.sheetmusiclibrary.website											
debussy_images	l110-02_images_hommage	1: 3/2, 11: 4/2, 12: 3/2, 16: 1/2, 17: 3/2, 42: 2/2, 43: 3/2	1: 5, 51: 0, 57: 5	76	76	452.0	76	76	452.0	3091.75	2076	587	0	0	0	1904	1904	Claude Debussy	Hommage à Rameau								2019-09-08	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5715607		Hommage à Rameau	Images	Claude Debussy	3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l110-02_images_hommage.mscx	0	24-99 (C1-D#7)	https://musescore.com/user/4887176		Piano	44-99 (G#2-D#7)	Piano	24-93 (C1-A6)																			
debussy_images	l110-03_images_mouvement	1: 2/4	1: 0, 67: 2, 115: 0	177	177	354.0	177	177	354.0	1500.0	3482	2032	0	0	0	1905	1905	Claude Debussy	Mouvement (III)								2019-10-18	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5835723		Mouvement (III)	Images	Claude Debussy	3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l110-03_images_mouvement.mscx	0	24-92 (C1-G#6)	https://musescore.com/user/4887176		Piano	52-92 (E3-G#6)	Piano	24-86 (C1-D6)																			
debussy_images	l111-01_images_cloches	1: 4/4, 9: 2/4, 10: 4/4, 11: 2/4, 12: 4/4, 15: 2/4, 17: 4/4, 24: 12/8, 41: 4/4	1: 0, 25: 4, 41: 0	50	49	224.0	50	49	224.0	1100.98	1792	1102	0	0	0	1907	1907										2022-02-07		Microsoft Windows			"<i><font size=""19""/>à Alexandre Charpentier</i>"			3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l111-01_images_cloches.mscx	0	28-94 (E1-Bb6)			Piano	50-94 (D3-Bb6)	Piano	28-91 (E1-G6)			Piano	28-79 (E1-G5)															
debussy_images	l111-02_images_lune	1: 4/4	1: 1	57	57	228.0	57	57	228.0	1362.58	1345	393	0	0	0	1907	1907	Claude Debussy	Et la lune descend sur le temple qui fut (2)	2	Images (Deuxième Série) 					Oli 2020	2020-06-14	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/6207140		Et la lune descend sur le temple qui fut 	Images (Deuxième Série); 2	Claude Debussy	3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l111-02_images_lune.mscx	0	26-95 (D1-B6)	https://musescore.com/user/4887176		Grand Piano	59-95 (B3-B6)	Grand Piano	47-95 (B2-B6)			Grand Piano	26-81 (D1-A5)															
debussy_images	l111-03_images_poissons	1: 3/4	1: 6, 26: -3, 37: 0, 46: 6, 51: 3, 55: 0, 72: -3, 78: 0, 86: 6	106	97	306.5	106	99	306.5	983.33	3248	1832	0	0	0	1907	1907										2022-02-08		Microsoft Windows			"<i><font size=""14""/>à Ricardo Viñes</i>"			3.6.2	1.2.9	debussy_images/MS3	debussy_images/MS3/l111-03_images_poissons.mscx	0	25-97 (C#1-C#7)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/256280	Piano	61-97 (C#4-C#7)	Piano	25-97 (C#1-C#7)			Piano	25-90 (C#1-F#6)				"<font size=""16""/>Poissons d'or"	"b.91 second ""E"" in the middle staff should poss be Enatural? Not marked in source material, but chromatic passage would suggest it. The E nat is written when the passage repeats a beat later, and again at b.93
"										
debussy_other_piano_pieces	l000_etude	1: 4/4	1: -4, 7: 0, 9: -5, 38: 0, 42: -4, 48: -3, 57: -4, 64: 0, 66: -4	73	71	284.0	73	71	284.0	959.25	2473	1901	0	0	0	1915	1915	Claude Debussy	Etude Retrouve								2021-05-19		Microsoft Windows	http://musescore.com/user/33144689/scores/6884844		Étude Retrouvée		Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l000_etude.mscx	0	25-96 (Db1-C7)	https://musescore.com/user/33144689		Piano	32-96 (Ab1-C7)	Piano	25-91 (Db1-G6)																			
debussy_other_piano_pieces	l000_soirs	1: 4/4	1: -4	23	23	92.0	23	23	92.0	528.0	462	134	0	0	0	1917	1917	Claude Debussy									2021-07-02		Microsoft Windows	http://musescore.com/user/37796349/scores/6853240		Les soirs illuminés par l'ardeur du charbon 		Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l000_soirs.mscx	0	32-89 (Ab1-F6)	https://musescore.com/sansenk		Piano	54-89 (Gb3-F6)	Piano	50-77 (D3-F5)			Piano	32-39 (Ab1-Eb2)															
debussy_other_piano_pieces	l009_danse	1: 2/4	1: 2, 45: 5, 61: 2	92	92	184.0	92	92	184.0	586.5	1194	486	0	0	0	1880	1880	Claude Debussy	Danse Bohemian							Public Domain Work 	2021-10-08		Microsoft Windows	http://musescore.com/user/35830795/scores/7275327		Danse Bohémienne		"Claude Debussy
(1880)"	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l009_danse.mscx	0	35-94 (B1-A#6)	https://musescore.com/yazen23434/		Piano	49-94 (C#3-A#6)	Piano	35-71 (B1-B4)																			
debussy_other_piano_pieces	l067_mazurka	1: 3/4	1: 3, 54: 2, 111: 3	138	138	414.0	138	138	414.0	1436.5	1187	645	0	0	0	1890	1890	Claude Debussy	Mazurka								2019-09-03	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5699433		Mazurka		Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l067_mazurka.mscx	0	28-91 (E1-G6)	https://musescore.com/user/4887176		Piano	50-91 (D3-G6)	Piano	28-74 (E1-D5)																			
debussy_other_piano_pieces	l068_reverie	1: 4/4, 75: 3/4, 76: 4/4	1: -1, 59: 4, 69: 0, 76: -1	101	101	403.0	101	101	403.0	1286.0	1253	723	0	0	0	1890	1890	Claude Debussy	Reverie								2016-10-09		Microsoft Windows	http://musescore.com/user/24069/scores/2749626		Rêverie		Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l068_reverie.mscx	0	26-93 (D1-A6)	https://musescore.com/hmscomp		Piano	53-93 (F3-A6)	Piano	26-79 (D1-G5)																			
debussy_other_piano_pieces	l069_tarentelle	1: 6/8, 325: 3/4, 329: 6/8	1: 4, 96: -3, 112: 4, 179: 1, 271: 4	333	333	999.0	333	333	999.0	3643.5	3997	1675	0	0	0	1890	1890	Claude Debussy								Domaine Public J. Jobert 1923 (J.J. 209)	2022-01-26	3.02	Linux	https://musescore.com/user/56409/scores/263276#comments		"<font face=""Times New Roman""/>Danse"	"<font face=""Times New Roman""/>Tarentelle Styrienne"	"<font face=""Times New Roman""/>Claude Debussy 1890. Edition revue par Maurice Ravel"	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l069_tarentelle.mscx	0	28-95 (E1-B6)	https://musescore.com/user/56409		Piano	51-95 (Eb3-B6)	Piano	28-87 (E1-D#6)																			
debussy_other_piano_pieces	l070_ballade	1: 4/4	1: -1, 63: 4, 86: 0, 88: -1	105	105	420.0	105	105	420.0	2146.08	3070	1617	0	0	0	1890	1890	Claude Debussy	Ballade								2019-10-23	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/5825949		Ballade		"CRAUDE DEBUSSY

"	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l070_ballade.mscx	0	29-93 (F1-A6)	https://musescore.com/user/3797871		Piano	40-93 (E2-A6)	Piano	29-88 (F1-E6)																			
debussy_other_piano_pieces	l071_valse	1: 3/4	1: -4, 119: -1	151	151	453.0	151	151	453.0	1532.83	1614	828	0	0	0	1890	1890	Claude Debussy	Valse romantique								2019-08-31	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5696215		Valse romantique		Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l071_valse.mscx	0	25-93 (Db1-A6)	https://musescore.com/user/4887176		Piano	50-93 (D3-A6)	Piano	25-88 (Db1-E6)																			
debussy_other_piano_pieces	l082_nocturne	1: 4/4, 32: 7/4, 47: 4/4	1: -5, 28: 3, 32: -1, 55: -5	77	77	355.0	77	77	355.0	1625.42	2156	1046	0	0	0	1892	1892	Claude Debussy	Nocturne 								2018-09-08	3.02	Microsoft Windows	http://musescore.com/user/22164946/scores/6672848		Nocturne 	for Piano	Claude Debussy	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l082_nocturne.mscx	0	24-93 (C1-Bbb6)	https://musescore.com/justisb		Pianinas	45-93 (A2-Bbb6)	Pianinas	24-85 (C1-Db6)																			
debussy_other_piano_pieces	l099_cahier	1: 6/8, 10: 9/8, 11: 6/8, 47: 6/4, 50: 9/4, 51: 6/4	1: -5, 43: 0, 47: -5	55	55	202.0	55	55	202.0	1136.52	1268	452	0	0	0	1903	1903	Claude DEBUSSY.	...D'un Cahier d'Esquisses.								2022-02-04		Microsoft Windows			...D'un Cahier d'Esquisses.		Claude DEBUSSY.	3.6.2	1.2.9	debussy_other_piano_pieces/MS3	debussy_other_piano_pieces/MS3/l099_cahier.mscx	0	25-94 (Db1-Bb6)	tunescribers.com		Piano	48-94 (C3-Bb6)	Piano	44-78 (Ab2-Gb5)			Piano	25-69 (Db1-Bbb4)															
