corpus	fname	1.0q_slice	0	1	2	3	4	5	6	7	8	9	10	11
debussy	l000_etude	[0.0, 1.0)	0.16667	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	1.33333	0.0	0.16667	0.0
debussy	l000_etude	[1.0, 2.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[2.0, 3.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[3.0, 4.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[4.0, 5.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[5.0, 6.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[6.0, 7.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[7.0, 8.0)	0.14286	0.0	0.0	0.28571	0.0	0.42857	0.0	0.0	1.14286	0.0	0.0	0.0
debussy	l000_etude	[8.0, 9.0)	0.16667	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	1.33333	0.0	0.16667	0.0
debussy	l000_etude	[9.0, 10.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[10.0, 11.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[11.0, 12.0)	0.16667	0.0	0.0	0.33333	0.0	0.33333	0.0	0.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[12.0, 13.0)	1.16667	0.0	0.0	1.33333	0.0	0.33333	0.0	2.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[13.0, 14.0)	1.16667	0.0	0.0	1.33333	0.0	0.33333	0.0	2.0	0.16667	0.0	0.0	0.0
debussy	l000_etude	[14.0, 15.0)	1.16667	0.0	0.0	0.33333	0.0	2.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[15.0, 16.0)	1.16667	0.0	0.0	0.33333	0.0	2.33333	0.0	0.0	1.16667	0.0	0.0	0.0
debussy	l000_etude	[16.0, 17.0)	1.16667	1.0	0.0	0.33333	0.0	1.33333	0.0	0.0	1.16667	0.0	1.0	0.0
debussy	l000_etude	[17.0, 18.0)	1.16667	1.0	0.0	0.33333	0.0	1.33333	0.0	0.0	1.16667	0.0	1.0	0.0
debussy	l000_etude	[18.0, 19.0)	0.0	1.16667	0.0	0.33333	0.0	0.33333	2.0	0.0	0.0	0.0	1.16667	0.0
debussy	l000_etude	[19.0, 20.0)	0.0	1.16667	0.0	0.33333	0.0	0.33333	1.5	0.0	0.0	0.0	1.66667	0.0
debussy	l000_etude	[20.0, 21.0)	1.16667	1.0	0.0	0.33333	0.0	1.33333	0.0	0.0	1.16667	0.0	1.0	0.0
debussy	l000_etude	[21.0, 22.0)	0.0	1.16667	0.0	0.33333	0.0	0.33333	2.0	0.0	0.0	0.0	1.16667	0.0
debussy	l000_etude	[22.0, 23.0)	0.0	1.16667	0.0	0.33333	0.0	0.33333	2.0	0.0	0.0	0.0	1.16667	0.0
debussy	l000_etude	[23.0, 24.0)	0.0	0.16667	0.0	0.33333	0.0	0.33333	0.0	0.0	0.0	0.0	0.16667	0.0
debussy	l000_etude	[24.0, 25.0)	0.0	0.0	1.16667	0.0	0.33333	0.33333	0.0	0.0	0.0	0.16667	0.0	0.0
debussy	l000_etude	[25.0, 26.0)	0.0	0.0	1.16667	0.0	0.33333	0.33333	0.0	0.0	0.0	0.16667	0.0	0.0
debussy	l000_etude	[26.0, 27.0)	0.25	0.0	1.16667	0.0	0.33333	0.33333	0.0	0.0	0.0	0.41667	0.0	0.0
debussy	l000_etude	[27.0, 28.0)	0.0	0.0	1.0	0.0	0.33333	0.83333	0.0	0.0	0.5	0.16667	0.0	0.16667
