corpus	fname	1.0q_slice	0	1	2	3	4	5	6	7	8	9	10	11
publication_data_and_code	l123-08_preludes_ondine_37-45	[0.0, 1.0)	0.0	0.0	0.0	1.5	0.0	0.0	0.0	2.0	0.0	0.5	0.25	0.75
publication_data_and_code	l123-08_preludes_ondine_37-45	[1.0, 2.0)	0.0	0.0	0.0	1.0	0.0	0.5	0.0	1.0	0.0	2.0	0.0	0.5
publication_data_and_code	l123-08_preludes_ondine_37-45	[2.0, 3.0)	0.0	0.0	0.0	0.5	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.5
publication_data_and_code	l123-08_preludes_ondine_37-45	[3.0, 4.0)	0.0	0.0	0.0	1.75	0.0	0.25	0.0	0.0	0.0	0.0	1.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[4.0, 5.0)	0.0	0.0	0.0	0.0	0.0	1.25	0.0	1.5	0.0	0.25	2.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[5.0, 6.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	2.5	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[6.0, 7.0)	0.0	0.0	0.0	0.0	0.0	0.25	0.0	1.5	0.0	1.25	2.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[7.0, 8.0)	0.0	0.0	0.25	1.5	0.0	1.25	0.0	0.0	0.0	0.0	2.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[8.0, 9.0)	1.25	0.0	1.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[9.0, 10.0)	0.0	0.0	0.22222	1.0	0.0	0.0	0.0	1.33333	0.22222	0.0	1.0	0.22222
publication_data_and_code	l123-08_preludes_ondine_37-45	[10.0, 11.0)	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[11.0, 12.0)	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[12.0, 13.0)	0.0	0.0	0.22222	1.0	0.0	0.0	0.0	1.33333	0.22222	0.0	1.0	0.22222
publication_data_and_code	l123-08_preludes_ondine_37-45	[13.0, 14.0)	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[14.0, 15.0)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[15.0, 16.0)	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[16.0, 17.0)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[17.0, 18.0)	0.0	0.0	0.0	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[18.0, 19.0)	0.0	0.5	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[19.0, 20.0)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[20.0, 21.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[21.0, 22.0)	0.0	0.5	0.0	0.33333	0.33333	0.0	0.0	1.0	0.0	0.0	0.33333	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[22.0, 23.0)	0.0	1.0	0.0	0.33333	0.33333	0.0	0.0	1.0	0.0	0.0	0.33333	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[23.0, 24.0)	0.0	1.0	0.0	0.33333	0.33333	0.0	0.0	1.0	0.0	0.0	0.33333	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[24.0, 25.0)	0.0	1.5	0.0	0.33333	0.33333	0.0	0.5	1.0	0.0	0.0	0.33333	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[25.0, 26.0)	0.0	1.5	0.0	0.33333	0.33333	0.0	0.5	1.0	0.0	0.0	0.33333	0.0
publication_data_and_code	l123-08_preludes_ondine_37-45	[26.0, 27.0)	0.0	1.5	0.0	0.33333	0.33333	0.0	0.5	1.0	0.0	0.0	0.33333	0.0
