index,fname,length_qb,year,last_mc,partition_entropy,inverse_coherence,variable_resonance,value_resonance,variable_resonance_entropy,value_resonance_entropy,variable_inertia,value_inertia
0,l000_etude,284.0,1915.0,73,0.13053414712673714,-0.33218616201084983,percentage_resonances_1,0.996925213251339,percentage_resonances_entropy_1,3.675414195335957e-05,moments_of_inertia_1,1.9016256312822405e-08
1,l000_soirs,92.0,1917.0,23,0.1538962903937144,-0.4220599010057424,percentage_resonances_1,0.9887640449438202,percentage_resonances_entropy_1,0.0,moments_of_inertia_1,0.0
2,l009_danse,184.0,1880.0,92,0.09187644426933037,-0.42677886692582545,percentage_resonances_1,0.9947744035354893,percentage_resonances_entropy_1,8.239907110668463e-06,moments_of_inertia_1,0.0
3,l066-01_arabesques_premiere,426.0,1888.0,107,0.08540807625328088,-0.4306290983798326,percentage_resonances_1,0.9976694666599601,percentage_resonances_entropy_1,8.0726690136458e-21,moments_of_inertia_1,6.246957138217542e-10
4,l066-02_arabesques_deuxieme,440.0,1891.0,110,0.0835379972830357,-0.3719120312608361,percentage_resonances_1,0.9996596306206766,percentage_resonances_entropy_1,0.00016655697780012827,moments_of_inertia_1,1.2486217020066174e-06
5,l067_mazurka,414.0,1890.0,138,0.10351738471280697,-0.46064966860846673,percentage_resonances_1,0.9982353182583001,percentage_resonances_entropy_1,2.8851228565434688e-05,moments_of_inertia_1,2.4516908389833657e-08
6,l068_reverie,403.0,1890.0,101,0.0886042136530836,-0.30317382033957235,percentage_resonances_1,0.9976048125411769,percentage_resonances_entropy_1,1.7262843173795964e-06,moments_of_inertia_1,9.18292702553367e-10
7,l069_tarentelle,999.0,1890.0,333,0.10205578820648108,-0.3441820097450533,percentage_resonances_1,0.9991217383343611,percentage_resonances_entropy_1,1.6417965105554592e-07,moments_of_inertia_1,3.260255041385904e-10
8,l070_ballade,420.0,1890.0,105,0.12514440547446723,-0.22715935293682565,percentage_resonances_1,0.9980952380952381,percentage_resonances_entropy_1,5.21491542052772e-05,moments_of_inertia_1,2.470492144263913e-08
9,l071_valse,453.0,1890.0,151,0.11246383966688894,-0.40101961382425766,percentage_resonances_1,0.9982940103539314,percentage_resonances_entropy_1,6.177021900554256e-06,moments_of_inertia_1,1.0111876522817989e-08
10,l075-01_suite_prelude,356.0,1897.5,89,0.06782386447661741,-0.43003705116931007,percentage_resonances_1,0.9973918416807774,percentage_resonances_entropy_1,2.704738330189742e-20,moments_of_inertia_1,1.2880454093499993e-10
11,l075-02_suite_menuet,312.0,1897.5,104,0.08951881691406283,-0.29001585257934753,percentage_resonances_1,0.9971488033298648,percentage_resonances_entropy_1,2.212233614353716e-05,moments_of_inertia_1,2.881127106937591e-08
12,l075-03_suite_clair,324.0,1897.5,72,0.07420746619016132,-0.5198021472583281,percentage_resonances_1,0.996913699317156,percentage_resonances_entropy_1,2.4198903515712176e-07,moments_of_inertia_1,1.7885922144797737e-09
13,l075-04_suite_passepied,624.0,1897.5,156,0.07454713955107828,-0.37161146486111213,percentage_resonances_1,0.9985556514997108,percentage_resonances_entropy_1,6.192371811979514e-07,moments_of_inertia_1,4.921839524356751e-10
14,l082_nocturne,355.0,1892.0,77,0.11089885273193303,-0.35090022559577716,percentage_resonances_1,0.9976917613636364,percentage_resonances_entropy_1,1.334904400910582e-05,moments_of_inertia_1,1.1830529895767317e-07
15,l087-01_images_lent,172.0,1894.0,57,0.11766141063097307,-0.3656649916982373,percentage_resonances_1,0.9947944835045971,percentage_resonances_entropy_1,6.455940032546997e-06,moments_of_inertia_1,1.6797009360796534e-08
