L	year	title	availability	comments	pdf	source
L111/3	1907	Poissons d'or	TRUE	14 pages	https://imslp.org/wiki/Special:ReverseLookup/256280	https://www.kunstderfuge.com/debussy.htm
L114	1909	Le petit nègre	TRUE			https://musescore.com/user/19496546/scores/5815359 - premium: https://musescore.com/official_scores/le-petit-negre-claude-debussy
L115	1909	Hommage à Joseph Haydn	TRUE	to check		https://musescore.com/user/27291303/scores/6845062
L117/1	1909	Danseuses de Delphes	TRUE	few notes to fix 	https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/nicolas/scores/101607 - premium: https://musescore.com/official_author/scores/6920327
L117/10	1909-1910	La cathédrale engloutie	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/user/38837413/scores/7079966 - premium: https://musescore.com/official_scores/scores/6938631
L117/2	1909	Voiles	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/user/18230801/scores/7074797
L117/3	1909	Le vent dans la plaine	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/derek_john_benton/debussy-le-vent-dans-la-plaine
L117/5	1909	Les collines d'Anacapri	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/user/23335511/scores/6078729
L117/6	1909	Des pas sur la neige	TRUE	to check	https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/nicolas/scores/86941
L117/7	1909-1910	Ce qu'a vu le vent d'ouest	TRUE	to check	https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/user/36526887/scores/7013623
L117/9	1909-1910	La sérénade interrompue	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/user/23335511/scores/6084245#comments
L117/11	1910	La danse de Puck	TRUE	6 pages	https://imslp.org/wiki/Special:ReverseLookup/521885	https://www.kunstderfuge.com/debussy.htm
L117/12	1910	Minstrels	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/derek_john_benton/debussy-prelude-bk-1-no-12-minstrels#
L117/4	1910	Les sons et les parfums tournent dans l'air du soir	TRUE	to check	https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/nicolas/scores/86980
L117/8	1910	La fille aux cheveux de lin	TRUE		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/r_d/scores/5449385 - premium: https://musescore.com/official_author/scores/6920734
L121	1910	La plus que lente	TRUE	to check		https://musescore.com/user/4887176/scores/5663924#comments - premium: https://musescore.com/official_author/scores/6920736
L123/1	1910-1913	Brouillards	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-1-brouillards
L123/2	1910-1913	Feuilles mortes	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-2-feuilles-mortes
L123/3	1910-1913	La Puerta del Vino	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-predule-bk-2-no-3-la-puerta-del-vino
L123/4	1910-1913	Les fées sont d'exquises danseuses	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-4-les-fees-sont-d-exquises-danseuses
L123/5	1910-1913	Bruyères	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-5-bruy-res
L123/6	1910-1913	Général Lavine, eccentric	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-6-general-lavine-excentric
L123/7	1910-1913	La terrasse des audiences du clair de lune	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-7-la-terrasse-des-audiences-du-clair-de-lune
L123/8	1910-1913	Ondine	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-8-ondine
L123/9	1910-1913	Hommage à Samuel Pickwick	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk2-no-9-hommage-a-s-pickwick-esq-p-p-m-p-c
L123/10	1910-1913	Canope	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-10-canope
L123/11	1910-1913	Les tierces alternées	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-11-les-tierces-alterne-s
L123/12	1910-1913	Feux d'artifice	TRUE		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton/debussy-prelude-bk-2-no-12-feux-d-artifice
---	1913	La boîte à joujoux	FALSE	48 pages (not A4); not piano music		score: https://imslp.org/wiki/La_bo%C3%AEte_%C3%A0_joujoux_(Debussy%2C_Claude)
L131/1	1915	Pour invoquer Pan, dieu du vent d'été	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L131/2	1915	Pour un tombeau sans nom	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L131/3	1915	Pour que la nuit soit propice	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L131/4	1915	Pour la danseuse aux crotales	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L131/5	1915	Pour l'Égyptienne	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L131/6	1915	Pour remercier la pluie au matin	TRUE	4-hands: leave out?		https://www.classicalarchives.com/midi/composer/2405.html#tv=music
L132	1914	Berceuse heroique	TRUE			https://musescore.com/user/4887176/scores/6174172
---	1915	Étude retrouvée	TRUE	to check		https://musescore.com/user/33144689/scores/6884844
L133	1915	Page d'album	TRUE	to check		https://musescore.com/user/39300366/scores/6864283
L136/1	1915	Pour les cinq doigts d'après monsieur Czerny	TRUE		https://imslp.org/wiki/Special:ReverseLookup/507725	https://musescore.com/user/36526887/scores/6959034
L136/2	1915	Pour les tierces	TRUE	7 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/3	1915	Pour les quartes	TRUE	5 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/4	1915	Pour les sixtes	TRUE	4 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/5	1915	Pour les octaves	TRUE	6 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/6	1915	Pour les huit doigts	TRUE	7 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/7	1915	Pour les degrés chromatiques	TRUE	8 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/8	1915	Pour les agréments	TRUE	7 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/9	1915	Pour les notes répétées	TRUE	7 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/10	1915	Pour les sonorités opposées	TRUE	4 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L136/11	1915	Pour les arpèges composés	TRUE		https://imslp.org/wiki/Special:ReverseLookup/507725	https://musescore.com/user/4887176/scores/6368039#comments
L136/12	1915	Pour les accords	TRUE	5 pages	https://imslp.org/wiki/Special:ReverseLookup/507725	https://www.kunstderfuge.com/debussy.htm
L138	1915	Élégie	TRUE	to check	https://imslp.org/wiki/Special:ReverseLookup/507725	https://musescore.com/user/4887176/scores/6173997
---	1917	Les Soirs illuminés par l'ardeur du charbon	TRUE		https://imslp.org/wiki/Special:ReverseLookup/507725	https://musescore.com/sansenk/les-soirs-illumin-s-par-l-ardeur-du-charbon-claude-debussy-les-soirs-illumin-s-par-l-ardeur-du-charbon-by-claude-debussy#comments
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
			FALSE			
